Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
"Lotame>Style, Fashion & Clothing>Men's Clothing Shoppers",320x50,Sign up Today - 10% Off,"Chicago, Illinois",zone.msn.com,PubMatic,Smartphone,10903,35,3776,9581,2,"$1,460.01",$730.00,0.32%,$41.71,$133.91,5.71%,$386.66,39.41133493
Online Behavior>United States>Autos and Vehicles>Brands>GM-Daewoo,320x50,Sign up Now - 10% Off,"Rockford, Illinois",msn.com,Google Ad Manager,Smartphone,48436,171,16543,42427,6,"$4,386.65",$731.11,0.35%,$25.65,$90.57,3.51%,$265.17,38.99167983
Online Behavior>United States>Travel>Tourist Destinations>Zoos-Aquariums-Preserves,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Index Exchange,Smartphone,106151,299,75304,99311,9,"$6,616.88",$735.21,0.28%,$22.13,$62.33,3.01%,$87.87,75.8264442
Online Behavior>United States>Hobbies and Leisure>Special Occasions>Party Planning,300x250,10% Discount - Ends 6/1,"San Francisco, California",mayoclinic.org,Index Exchange,Smartphone,14398,30,2807,13393,7,"$5,154.64",$736.38,0.21%,$171.82,$358.01,23.33%,"$1,836.35",20.95870977
Online Behavior>United States>People and Society>Family and Relationships>Moms,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",my.yahoo.com,BidSwitch,Smartphone,26784,85,12708,22261,9,"$6,643.16",$738.13,0.32%,$78.15,$248.03,10.59%,$522.75,57.08638426
Online Behavior>United States>Arts and Entertainment>Events and Listings>Event Ticket Sales,300x50,Sign up Today - 10% Off,"Nashville, Tennessee",wikihow.com,Magnite DV+,Smartphone,23488,75,4620,22254,9,"$6,667.73",$740.86,0.32%,$88.90,$283.88,12.00%,"$1,443.23",20.76031275
Online Behavior>United States>Sports>Winter Sports>Skiing and Snowboarding,320x50,10% Discount - Ends 6/1,"Knoxville, Tennessee",calculator.net,Google Ad Manager,Smartphone,29251,95,25060,28038,8,"$5,994.75",$749.34,0.32%,$63.10,$204.94,8.42%,$239.22,89.37870034
US>Brand Propensities>Health>Beauty and Cosmetics>Mary Kay Buyer Propensity,320x50,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Magnite DV+,Smartphone,12088,88,1124,10003,2,"$1,500.03",$750.01,0.73%,$17.05,$124.09,2.27%,"$1,334.54",11.23662901
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports>Baseball>Major League Baseball (MLB),300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",aol.com,OpenX,Smartphone,11062,78,6539,9391,2,"$1,500.10",$750.05,0.71%,$19.23,$135.61,2.56%,$229.41,69.63049728
Mobile - US>Food>Restaurant>Brand>Chilis,300x250,Sign up Now - 10% Off,"San Francisco, California",outlook.live.com,BidSwitch,Apple PC,87245,350,71903,80390,2,"$1,500.84",$750.42,0.40%,$4.29,$17.20,0.57%,$20.87,89.44271676
Mobile - US>Device Ownership>Smartphones>Vivo,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",jdpower.com,Google Ad Manager,Smartphone,9178,25,4644,8462,2,"$1,503.21",$751.60,0.27%,$60.13,$163.78,8.00%,$323.69,54.88064287
US Health and Fitness>Interest>Exercise>Health,300x50,10% Discount - Ends 6/1,"San Francisco, California",realtor.com,BidSwitch,Smartphone,10819,20,4168,9768,2,"$1,504.33",$752.16,0.18%,$75.22,$139.05,10.00%,$360.92,42.66994267
Online Behavior>United States>Hobbies and Leisure>Crafts,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",news.yahoo.com,TripleLift,Smartphone,41513,113,20872,39250,9,"$6,789.53",$754.39,0.27%,$60.08,$163.55,7.96%,$325.29,53.17707006
Online Behavior>United States>Intent>Auto Buyers>Car Make>Mazda,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",iflscience.com,Google Ad Manager,Smartphone,11672,84,7619,9999,7,"$5,284.28",$754.90,0.72%,$62.91,$452.73,8.33%,$693.57,76.19761976
Online Behavior>United States>Food and Drink>Beverages>Coffee and Tea,320x50,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",foxnews.com,BidSwitch,Smartphone,63794,200,46557,60868,9,"$6,832.94",$759.22,0.31%,$34.16,$107.11,4.50%,$146.77,76.48846685
Online Behavior>United States>Internet and Telecom>Search Engines,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",weather.com,PubMatic,Windows PC,26439,95,7093,19681,7,"$5,330.78",$761.54,0.36%,$56.11,$201.63,7.37%,$751.56,36.03983537
Online Behavior>United States>Online Communities>Blogging Resources and Services,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",signin.ebay.com,Yahoo Exchange,Smartphone,18136,69,10842,14953,9,"$6,860.36",$762.26,0.38%,$99.43,$378.27,13.04%,$632.76,72.50718919
Online Behavior>United States>Autos and Vehicles>Brands>Maserati,320x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",foxnews.com,BidSwitch,Smartphone,38408,101,23557,35247,7,"$5,343.46",$763.35,0.26%,$52.91,$139.12,6.93%,$226.83,66.8340568
Transactional>Q3 Gardening Shoppers,300x250,10% Discount - Ends 6/1,"San Francisco, California",signupgenius.com,Google Ad Manager,Smartphone,14763,40,8955,13829,2,"$1,531.93",$765.96,0.27%,$38.30,$103.77,5.00%,$171.07,64.75522453
US>B2B>B2B Decision Maker Responsibilities>Real Estate Services,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",zillow.com,BidSwitch,Smartphone,9790,24,1295,9196,2,"$1,532.15",$766.07,0.25%,$63.84,$156.50,8.33%,"$1,183.13",14.08220966
US>AUTO>Primary Vehicle>New or Used>New,300x250,Sign up Today - 10% Off,"Los Angeles, California",dinneratthezoo.com,Google Ad Manager,Smartphone,12391,40,5756,11636,4,"$3,069.12",$767.28,0.32%,$76.73,$247.69,10.00%,$533.20,49.46717085
Mobile - US>Food>Restaurant>Brand>Five Guys,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",ebay.com,BidSwitch,Smartphone,9210,80,3798,8619,2,"$1,536.63",$768.31,0.87%,$19.21,$166.84,2.50%,$404.59,44.06543683
Online Behavior>United States>News>Sports News,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",biblegateway.com,Google Ad Manager,Smartphone,26715,100,12287,25003,6,"$4,623.09",$770.51,0.37%,$46.23,$173.05,6.00%,$376.26,49.14210295
Mobile - US>Demographics>Finance>Rent Value>Highest Rent Value,300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",omnicalculator.com,Google Ad Manager,Smartphone,11214,49,5523,10267,2,"$1,554.39",$777.19,0.44%,$31.72,$138.61,4.08%,$281.44,53.793708
Online Behavior>United States>Intent>Auto Buyers>Car Make>Audi Q,300x250,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",accuweather.com,Xandr - Monetize SSP (AppNexus),Smartphone,10501,90,4126,7654,8,"$6,244.52",$780.56,0.86%,$69.38,$594.66,8.89%,"$1,513.46",53.90645414
Online Behavior>United States>Intent>Auto Buyers>Car Make>BMW,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",firstcoastnews.com,BidSwitch,Smartphone,12092,30,2042,10315,8,"$6,245.13",$780.64,0.25%,$208.17,$516.47,26.67%,"$3,058.34",19.79641299
US Interest>Computers,300x250,Subscribe Today - 10% Discount,"West Palm Beach-Ft. Pierce, Florida",nypost.com,PubMatic,Apple PC,73567,197,28800,68566,2,"$1,567.37",$783.68,0.27%,$7.96,$21.31,1.02%,$54.42,42.00332526
US Home>Dwelling Type>Single-Family,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",gamerant.com,Google Ad Manager,Windows PC,16202,80,11786,15365,2,"$1,570.34",$785.17,0.49%,$19.63,$96.92,2.50%,$133.24,76.70680117
US>AUTO>Primary Vehicle>New or Used>Pre-owned,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",billboard.com,Google Ad Manager,Smartphone,11325,88,6186,10612,2,"$1,573.25",$786.63,0.78%,$17.88,$138.92,2.27%,$254.32,58.29249906
US>Reach>Propensity Models>Lifestyle>Charities>Contributes to Charities,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",commercialappeal.com,Google Ad Manager,Smartphone,10191,75,1243,8897,3,"$2,365.91",$788.64,0.74%,$31.55,$232.16,4.00%,"$1,903.39",13.97100146
Online Behavior>United States>Validated Demographic>Age>25-44,300x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",cheapoair.com,PubMatic,Smartphone,114723,350,14623,92063,6,"$4,742.01",$790.33,0.31%,$13.55,$41.33,1.71%,$324.28,15.88368834
OnAudience>Intent>Toys & Games,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",kbb.com,Google Ad Manager,Smartphone,9222,33,5352,8141,2,"$1,583.16",$791.58,0.36%,$47.97,$171.67,6.06%,$295.81,65.74130942
Online Behavior>United States>Intent>Travel>Accommodation>Hotels,300x50,10% Discount - Ends 6/1,"Nashville, Tennessee",dailymail.co.uk/news,Google Ad Manager,Smartphone,14137,44,9300,13110,8,"$6,345.46",$793.18,0.31%,$144.22,$448.85,18.18%,$682.31,70.9382151
Online Behavior>United States>Intent>Auto Buyers>Car Make>Vauxhall,320x50,Sign up Now - 10% Off,"San Francisco, California",nypost.com,Google Ad Manager,Smartphone,14038,63,1600,11345,8,"$6,368.86",$796.11,0.45%,$101.09,$453.69,12.70%,"$3,980.54",14.10312913
Online Behavior>United States>Intent>Auto Buyers>Car Make>Volkswagen,300x250,Sign up Today - 10% Off,"Chicago, Illinois",androidauthority.com,PubMatic,Smartphone,14451,50,5606,13461,8,"$6,397.60",$799.70,0.35%,$127.95,$442.71,16.00%,"$1,141.21",41.64623728
Online Behavior>United States>Validated Demographic>Age>18-54,320x50,10% Discount - Ends 6/1,"Knoxville, Tennessee",macrumors.com,PubMatic,Smartphone,12214,50,5376,11490,7,"$5,616.31",$802.33,0.41%,$112.33,$459.83,14.00%,"$1,044.70",46.78851175
Online Behavior>United States>Beauty and Fitness>Fitness>Home Exercise,300x250,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",nbcnews.com,Yahoo Exchange,Smartphone,14224,30,2549,11974,7,"$5,637.30",$805.33,0.21%,$187.91,$396.32,23.33%,"$2,211.57",21.28779021
Online Behavior>United States>Travel>Hotels and Accommodations,300x250,Sign up Now - 10% Off,"San Francisco, California",outlook.live.com,Google Ad Manager,Smartphone,75531,200,63816,70011,9,"$7,261.87",$806.87,0.26%,$36.31,$96.14,4.50%,$113.79,91.1513905
Online Behavior>United States>Travel>Tourist Destinations>Beaches and Islands,300x50,10% Discount - Ends 6/1,"Chicago, Illinois",cheezburger.com,Google Ad Manager,Smartphone,19461,74,14647,18731,9,"$7,312.00",$812.44,0.38%,$98.81,$375.73,12.16%,$499.21,78.19657253
Online Behavior>United States>Life Event>Wedding Planning,300x250,Sign up Now - 10% Off,"Chicago, Illinois",news.yahoo.com,BidSwitch,Smartphone,16503,69,8595,14466,7,"$5,714.52",$816.36,0.42%,$82.82,$346.27,10.14%,$664.87,59.41518042
Online Behavior>United States>Autos and Vehicles>Brands>Rolls-Royce,320x50,Sign up Today - 10% Off,"Tri-Cities, Tennessee-Virginia",boattrader.com,BidSwitch,Smartphone,14047,44,9934,13377,7,"$5,729.65",$818.52,0.31%,$130.22,$407.89,15.91%,$576.77,74.26179263
US>Reach>Propensity Models>Hobbies and Interest>Sports>PGA Tour Enthusiast,320x50,Sign up Now - 10% Off,"New York City, New York",mail.yahoo.com,PubMatic,Smartphone,65257,201,12749,19274,3,"$2,468.14",$822.71,0.31%,$12.28,$37.82,1.49%,$193.59,66.14610356
US Financial>Likely Attitude and Behavior>Completely Disagree>When I Find A Financial Product/Service I Like I Typically Recommend It To People I Know (Financial),300x250,Subscribe Today - 10% Discount,"New York City, New York",webmd.com,Google Ad Manager,Windows PC,16175,35,1923,15085,2,"$1,649.07",$824.53,0.22%,$47.12,$101.95,5.71%,$857.55,12.74776268
US>Brand Propensities>Apparel>JCPenney Buyer Propensity,300x250,10% Discount - Ends 6/1,"Los Angeles, California",greatschools.org,BidSwitch,Apple PC,12001,40,7173,11432,2,"$1,659.93",$829.97,0.33%,$41.50,$138.32,5.00%,$231.41,62.74492652
Online Behavior>United States>Arts and Entertainment>Events and Listings>Food and Beverage Events,300x250,Sign up Today - 10% Off,"Los Angeles, California",mail.aol.com,Google Ad Manager,Smartphone,224359,480,163149,200859,5,"$4,196.94",$839.39,0.21%,$8.74,$18.71,1.04%,$25.72,81.22563589
Online Behavior>United States>Autos and Vehicles>Brands>Dodge,300x250,10% Discount - Ends 6/1,"West Palm Beach-Ft. Pierce, Florida",autotrader.com,BidSwitch,Smartphone,43057,122,23767,41484,7,"$5,884.93",$840.70,0.28%,$48.24,$136.68,5.74%,$247.61,57.29196799
Online Behavior>United States>Food and Drink>Cooking and Recipes,300x50,Sign up Today - 10% Off,"Chicago, Illinois",weather.com,BidSwitch,Smartphone,40929,142,9249,31564,8,"$6,764.52",$845.57,0.35%,$47.64,$165.27,5.63%,$731.38,29.30236979
US>Brand Propensities>Kids Products>Disney Buyer Propensity,300x250,Subscribe Today - 10% Discount,"New York City, New York",nbcchicago.com,Google Ad Manager,Apple PC,50517,270,17179,48389,2,"$1,718.47",$859.24,0.53%,$6.36,$34.02,0.74%,$100.03,35.50187026
US>Interest Propensities>Activities and Interests>National News,320x50,10% Discount - Ends 6/1,"New York City, New York",nbcnews.com,BidSwitch,Smartphone,20486,42,14583,19860,2,"$1,718.51",$859.26,0.21%,$40.92,$83.89,4.76%,$117.84,73.42900302
Online Behavior>United States>Home and Garden>Home Improvement,320x50,10% Discount - Ends 6/1,"New York City, New York",finance.yahoo.com,Magnite DV+,Smartphone,76049,199,34921,69138,8,"$6,942.80",$867.85,0.26%,$34.89,$91.29,4.02%,$198.81,50.50912667
Online Behavior>United States>Internet and Telecom>Mobile and Wireless,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",forbes.com,Google Ad Manager,Smartphone,15326,68,7941,14331,8,"$6,943.52",$867.94,0.44%,$102.11,$453.05,11.76%,$874.39,55.41134603
Online Behavior>United States>Finance>Financial Planning and Management>Retirement and Pension,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",accuweather.com,PubMatic,Smartphone,18324,60,3145,13703,8,"$6,996.23",$874.53,0.33%,$116.60,$381.81,13.33%,"$2,224.56",22.95117857
Online Behavior>United States>The Changing Consumer>Home Entertaining,300x250,Sign up Today - 10% Off,"Flint-Saginaw-Bay City, Michigan",mail.yahoo.com,Google Ad Manager,Smartphone,14730,86,6410,10860,6,"$5,287.57",$881.26,0.58%,$61.48,$358.97,6.98%,$824.89,59.02394107
Online Behavior>United States>Internet and Telecom>Web Services,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",realtor.com,Magnite DV+,Smartphone,14581,45,3821,12741,6,"$5,296.97",$882.83,0.31%,$117.71,$363.28,13.33%,"$1,386.28",29.98979672
Online Behavior>United States>Intent>Auto Buyers>Category>Motorcycle,320x50,10% Discount - Ends 6/1,"Los Angeles, California",fandom.com,Xandr - Monetize SSP (AppNexus),Smartphone,15252,55,2152,3482,7,"$6,211.20",$887.31,0.36%,$112.93,$407.24,12.73%,"$2,886.25",61.80356117
Online Behavior>United States>Autos and Vehicles>Brands>Mitsubishi,300x250,Sign up Today - 10% Off,"San Francisco, California",msn.com,Smart RTB+ (Smartadserver),Smartphone,335461,963,171464,247450,5,"$4,445.87",$889.17,0.29%,$4.62,$13.25,0.52%,$25.93,69.2923823
Online Behavior>United States>Intent>Auto Buyers>Type>Truck,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",msn.com,BidSwitch,Smartphone,12974,84,7521,10959,7,"$6,301.87",$900.27,0.65%,$75.02,$485.73,8.33%,$837.90,68.6285245
Online Behavior>United States>Finance>Investing>Commodities and Futures Trading,300x250,Sign up Now - 10% Off,"Los Angeles, California",nbcmiami.com,Google Ad Manager,Smartphone,11476,45,4963,10991,8,"$7,227.42",$903.43,0.39%,$160.61,$629.79,17.78%,"$1,456.26",45.15512692
"US>Reach>Propensity Models>Real Estate>Mortgage Amount>$120,000-$159,999",300x250,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",m.timesofindia.com,Sovrn,Windows PC,15904,190,7523,14815,2,"$1,825.73",$912.86,1.19%,$9.61,$114.80,1.05%,$242.69,50.77961525
Purchase Behaviors>Q2 Spring Cleaners,320x50,Subscribe Today - 10% Discount,"Jackson, Mississippi",usatoday.com,BidSwitch,Smartphone,19549,84,6187,17166,2,"$1,844.99",$922.49,0.43%,$21.96,$94.38,2.38%,$298.20,36.0421764
US>Reach>Propensity Models>Hobbies and Interest>Sports>Hunting Enthusiasts,300x250,Sign up Today - 10% Off,"Los Angeles, California",ranker.com,BidSwitch,Windows PC,65243,120,39543,54290,4,"$3,754.69",$938.67,0.18%,$31.29,$57.55,3.33%,$94.95,72.83661816
US>Brand Propensities>Electronics>Crutchfield Buyer Propensity,300x250,Sign up Today - 10% Off,"Los Angeles, California",signin.ebay.com,TripleLift,Smartphone,8437,63,5271,7065,2,"$1,880.53",$940.27,0.75%,$29.85,$222.89,3.17%,$356.77,74.60721868
Online Behavior>United States>The Changing Consumer>Home Learning,320x50,Sign up Now - 10% Off,"Chicago, Illinois",whatismyipaddress.com,Google Ad Manager,Smartphone,12209,147,3976,5219,4,"$3,818.96",$954.74,1.20%,$25.98,$312.80,2.72%,$960.50,76.18317685
US>Reach>Propensity Models>Hobbies and Interest>Photography,300x250,Sign up Now - 10% Off,"Los Angeles, California",boattrader.com,BidSwitch,Smartphone,20278,74,14227,19480,3,"$2,921.11",$973.70,0.36%,$39.47,$144.05,4.05%,$205.32,73.0338809
US>AUTO>Primary Vehicle>Owned or Leased>Company Car,320x50,10% Discount - Ends 6/1,"Hattiesburg-Laurel, Mississippi",onechicagocenter.com,Magnite DV+,Smartphone,19829,42,15071,19095,2,"$1,952.46",$976.23,0.21%,$46.49,$98.47,4.76%,$129.55,78.92642053
Online Behavior>United States>Travel>Specialty Travel>Adventure Travel,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",biblegateway.com,Google Ad Manager,Smartphone,108559,212,79254,100563,7,"$6,850.58",$978.65,0.20%,$32.31,$63.10,3.30%,$86.44,78.81029802
Online Behavior>United States>The Changing Consumer>Personal Budgeting,320x50,Sign up Today - 10% Off,"Tri-Cities, Tennessee-Virginia",mapquest.com,Magnite DV+,Smartphone,27371,60,22256,25986,5,"$4,984.49",$996.90,0.22%,$83.07,$182.11,8.33%,$223.96,85.64611714
Online Behavior>United States>Arts and Entertainment>Movies,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",funnyand.com,Google Ad Manager,Smartphone,9273,70,4648,8751,5,"$4,986.52",$997.30,0.75%,$71.24,$537.75,7.14%,"$1,072.83",53.11392984
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 35-44,300x250,Sign up Now - 10% Off,"Jacksonville, Florida",espn.com,PubMatic,Smartphone,121991,369,43079,99312,4,"$3,993.21",$998.30,0.30%,$10.82,$32.73,1.08%,$92.70,43.37743676
Online Behavior>United States>Finance>Banking>Debit and Checking Services,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",thegamer.com,BidSwitch,Smartphone,8362,31,5959,7947,7,"$6,997.47",$999.64,0.37%,$225.72,$836.82,22.58%,"$1,174.27",74.98427079
"Online Behavior>United States>Finance>Grants, Scholarships and Financial Aid>Government Grants",300x250,Subscribe Today - 10% Discount,"Jacksonville, Florida",signupgenius.com,BidSwitch,Smartphone,14350,60,8228,13396,6,"$6,114.03","$1,019.01",0.42%,$101.90,$426.07,10.00%,$743.08,61.4213198
US>Interest Propensities>Music>Country,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",aol.com,Google Ad Manager,Smartphone,8716,40,6490,7862,2,"$2,100.82","$1,050.41",0.46%,$52.52,$241.03,5.00%,$323.70,82.54896973
Online Behavior>United States>The Changing Consumer>Direct to Consumer,320x50,Sign up Today - 10% Off,"Chicago, Illinois",cheezburger.com,PubMatic,Smartphone,27032,110,21893,26127,5,"$5,292.90","$1,058.58",0.41%,$48.12,$195.80,4.55%,$241.76,83.79454204
Online Behavior>United States>Intent>Shopping>Drug Stores,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",investopedia.com,Google Ad Manager,Smartphone,7687,10,5311,7266,6,"$6,486.85","$1,081.14",0.13%,$648.69,$843.87,60.00%,"$1,221.40",73.09386182
US>Reach>Propensity Models>Hobbies and Interest>Sports>Plays Soccer,300x250,Sign up Now - 10% Off,"Savannah, Georgia",health.usnews.com,Google Ad Manager,Smartphone,8730,22,3725,7413,3,"$3,268.01","$1,089.34",0.25%,$148.55,$374.34,13.64%,$877.32,50.24956158
US>Entertainment and Pastimes>Entertainment and Pastimes,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",whatismyipaddress.com,Magnite DV+,Smartphone,8545,20,3454,5510,2,"$2,181.25","$1,090.62",0.23%,$109.06,$255.27,10.00%,$631.51,62.68602541
US>Sociodemographic>ConneXions Lifestage>Y2 Emerging Techies,300x250,Sign up Today - 10% Off,"Memphis, Tennessee",shareably.net,Google Ad Manager,Smartphone,10485,84,4255,7669,2,"$2,239.26","$1,119.63",0.80%,$26.66,$213.57,2.38%,$526.27,55.48311383
Online Behavior>United States>Autos and Vehicles>Brands>Cadillac,320x50,Subscribe Today - 10% Discount,"South Bend-Elkhart, Indiana",eenadu.net,Google Ad Manager,Smartphone,14011,40,5060,12459,5,"$5,632.09","$1,126.42",0.29%,$140.80,$401.98,12.50%,"$1,113.06",40.61321133
Online Behavior>United States>Jobs and Education>Jobs,300x250,Sign up Today - 10% Off,"Jacksonville, Florida",people.com,PubMatic,Smartphone,21280,70,15309,20244,6,"$6,837.51","$1,139.59",0.33%,$97.68,$321.31,8.57%,$446.63,75.62240664
US>Reach>Propensity Models>Hobbies and Interest>Music>Streaming,320x50,Subscribe Today - 10% Discount,"Chattanooga, Tennessee",mail.aol.com,Magnite DV+,Smartphone,15399,35,3398,4324,3,"$3,434.73","$1,144.91",0.23%,$98.14,$223.05,8.57%,"$1,010.81",78.58464385
Online Behavior>United States>Autos and Vehicles>Brands>Mini,320x50,Subscribe Today - 10% Discount,"Flint-Saginaw-Bay City, Michigan",signupgenius.com,PubMatic,Smartphone,24100,110,11355,21740,5,"$5,912.26","$1,182.45",0.46%,$53.75,$245.32,4.55%,$520.67,52.23091076
US>Reach>Propensity Models>Hobbies and Interest>Sports>NBA Enthusiast,320x50,10% Discount - Ends 6/1,"New York City, New York",jdpower.com,OpenX,Smartphone,21482,67,10473,19679,3,"$3,563.10","$1,187.70",0.31%,$53.18,$165.86,4.48%,$340.22,53.21916764
Online Behavior>United States>Life Event>Home Buying,300x250,Subscribe Today - 10% Discount,"New York City, New York",topclassactions.com,PubMatic,Smartphone,9362,39,5202,8928,6,"$7,312.49","$1,218.75",0.42%,$187.50,$781.08,15.38%,"$1,405.71",58.26612903
Online Behavior>United States>Intent>Auto Buyers>New,320x50,Sign up Now - 10% Off,"Los Angeles, California",whatismyipaddress.com,Google Ad Manager,Smartphone,42830,160,24499,34496,5,"$6,261.58","$1,252.32",0.37%,$39.13,$146.20,3.13%,$255.58,71.01982839
Online Behavior>United States>Sports>Extreme Sports,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",webmd.com,Yahoo Exchange,Smartphone,14599,33,1779,12458,4,"$5,092.56","$1,273.14",0.23%,$154.32,$348.83,12.12%,"$2,862.60",14.27998074
"Online Behavior>United States>Intent>Shopping>Consumer Electronics>Computers, Laptops",320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",cargurus.com,Yahoo Exchange,Smartphone,16644,10,5055,15831,5,"$6,386.46","$1,277.29",0.06%,$638.65,$383.71,50.00%,"$1,263.40",31.93102141
Online Behavior>United States>Intent>Shopping>Entertainment,300x50,Sign up Today - 10% Off,"New York City, New York",mapquest.com,Index Exchange,Smartphone,11734,78,8741,10606,5,"$6,439.28","$1,287.86",0.66%,$82.55,$548.77,6.41%,$736.68,82.4156138
US>Reach>Propensity Models>Online>Electronics and Gadgets,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",screenrant.com,Magnite DV+,Smartphone,10389,55,8161,9951,2,"$2,582.49","$1,291.25",0.53%,$46.95,$248.58,3.64%,$316.44,82.0118581
Online Behavior>United States>Law and Government>Government,300x250,Sign up Today - 10% Off,"Chicago, Illinois",slickdeals.net,OpenX,Windows PC,18537,95,6473,17081,4,"$5,206.24","$1,301.56",0.51%,$54.80,$280.86,4.21%,$804.30,37.89590773
Online Behavior>United States>Intent>Shopping>Consumer Electronics>Cameras and Photography Equip,300x250,Sign up Today - 10% Off,"Chicago, Illinois",gameofglam.com,BidSwitch,Smartphone,11681,88,4713,8230,4,"$5,216.65","$1,304.16",0.75%,$59.28,$446.59,4.55%,"$1,106.86",57.26609964
Online Behavior>United States>The Changing Consumer>Delivery Services and Quick Service Restaurants,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",mail.aol.com,PubMatic,Smartphone,103665,270,77283,94019,4,"$5,284.69","$1,321.17",0.26%,$19.57,$50.98,1.48%,$68.38,82.19934269
Online Behavior>United States>Arts and Entertainment>Music and Audio,300x250,Sign up Today - 10% Off,"Jacksonville, Florida",chicagotribune.com,Google Ad Manager,Smartphone,7628,19,5048,7154,5,"$6,684.06","$1,336.81",0.25%,$351.79,$876.25,26.32%,"$1,324.10",70.5619234
Lotame>Personal Finance>Stocks,300x250,Sign up Now - 10% Off,"New York City, New York",repairlinkshop.com,Yahoo Exchange,Smartphone,13382,68,3340,11662,1,"$1,447.93","$1,447.93",0.51%,$21.29,$108.20,1.47%,$433.51,28.64002744
Online Behavior>United States>Validated Demographic>Age>35-44,300x250,10% Discount - Ends 6/1,"San Francisco, California",homehacks.co,Google Ad Manager,Windows PC,27473,69,11306,20625,2,"$2,922.29","$1,461.14",0.25%,$42.35,$106.37,2.90%,$258.47,54.8169697
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports>Baseball,320x50,Sign up Now - 10% Off,"Los Angeles, California",news.yahoo.com,PubMatic,Smartphone,73544,223,40405,67406,1,"$1,465.87","$1,465.87",0.30%,$6.57,$19.93,0.45%,$36.28,59.94273507
Lotame>Travel>International Travel,300x250,10% Discount - Ends 6/1,"San Francisco, California",eonline.com,Google Ad Manager,Smartphone,13464,84,1698,11234,1,"$1,466.29","$1,466.29",0.62%,$17.46,$108.90,1.19%,$863.54,15.11482998
"Online Behavior>United States>Finance>Grants, Scholarships and Financial Aid>Study Grants and Scholarships",300x50,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",mail.aol.com,Google Ad Manager,Smartphone,39844,101,28001,36335,3,"$4,439.37","$1,479.79",0.25%,$43.95,$111.42,2.97%,$158.54,77.06343746
US Financial>Likely Attitude and Behavior>Bank Selection>Customer Service Very Important (Financial),300x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",carscoops.com,PubMatic,Smartphone,8862,30,1359,7114,1,"$1,481.95","$1,481.95",0.34%,$49.40,$167.22,3.33%,"$1,090.47",19.10317683
